Figure,arousal_original,arousal_score,emotion,notes
1,5,5,Sad but sweet. nostalgia – longing. started pleasant abrupt end. Feels like a song about separation and the journey to find something ,
2,6,6,Intenseinsistent? Hopeful nostalgia remembering.,Starts low but active  quick notes that climb higher quickly too. Fair amount of chords. More song-like/melodious than many prev tracks. Higher notes are loud and insistent  start to ping after 1 min mark. Very insistent like it wants your attention  leading up to the pinging. Gets a sadder/more longing-ish after the midrange notes for 2 min mark  ends on an upwards notes
3,3.5,3.5,Muted joy? At beginning   more melancholic as it goes along. Like it’s looking for something? Esp with the sonar,Low energy at start  then picks up a bit  low notes and then starts to climb. Repeated high notes  painful to listen to – almost like sonar. Makes you wonder what it’s picking up on. Grows in intensity throughout piece. Lack of mid-range notes for most of the piece – two extremes. The lowest notes are almost inaudible even at my computer’s highest volume
4,7.5,7.5,Grief sadness,Fast high notes that quickly fall. Slowly level out but lower notes  slow down too. Briefly go high  but still a bit of sadness to them. Almost entirely quiets out around 1:20  like something is missing. Much more lower notes  few highs  kind of pensive sadness and less acute grief as it moves further? Sadness there throughout  earlier grief-y sound is repeated around 2:45/2:50ish with the downward progression  some mid-to-higher notes at the end  lead to pleasant chords with lower notes to sound a bit serene  ends on higher notes so like hopeful sadness?
5,5.5,5.5,Nostalgic but also hopeful near midpoint,Much faster pace  shorter notes that blend better. Low-to-middle range notes  not a ton of high notes. Around 1 minute mark the higher notes makes it seem much more emotional of a piece. Similar sonar-like high notes at later point. More complex sounds than the previous (fig3). End of song winds down and is almost inaudible with the low notes. Feels more complete? Like it has an appropriate ending
6,9,9,Alert but nostalgic storytime feel?,Pinging like radar  very fast. Comes and goes so kind of like a fight? Sounds kind of like something striking metal repeatedly but not in a pattern  maybe mining related? Overpowers whole track. Melody stays pretty lower-midtone the whole time.
7,6.5,6.5,Bit more sad at parts than the othersmore melancholic and depressed? Slower melody. Tragic? Faster bits are intense and alert but not joyous,Continues with the radar for a bit  maybe 7 continues with the same content as 6 for a bit. The pings are a bit lower though  and move around more. Even with the higher pins it sounds kind of tragic  even the higher parts aren’t a happy kind of higher notes
8,6.5,6.5,Adventurous? Happier than previous,Quick notes but low so feeling of not super intense  all over the map  more chords. Gains in joy as you go further along. Feels like abrupt ending
9,8,8,Intense stressed? Melancholic at parts,Starts like how fig 8 ends but then goes more melancholic and is slower with deeper notes  midway is dischordant with similar notes that are unpleasant together – very striking though. ¾ through turns more to melody  loses the painful high notes for a bit before they return. Melody remains steady and low-sih  with high punctuations at the end. Ending is very abrupt
10,7.5,7.5,Determined? Closer to happy but still a bit short? Striking,Nostalgic and highnote heavy – carrying more of the melody than previous songs. Still not happy but closer? Uncomfortable but kind of pleased? Determined?  More individual notes/fewer chords
